📋 BROADCAST REPORT
==================================================

✅ SUCCESSFULLY SENT: 4
--------------------------------------------------
SUCCESS | USER | 6646786564 | ⏤͟͟͞͞𝗖𝘆𝗯𝗲𝗿 𝗜𝗻𝘃𝗲𝘀𝘁𝗶𝗴𝗮𝘁𝗼𝗿
SUCCESS | USER | 6811587584 | ᴀsᴛʜᴀ ᴛʜᴀᴋᴜʀ
SUCCESS | USER | 7820082219 | 모 Ｂ么Đ ßᏫŸ࿐
SUCCESS | USER | 8267410570 | ༄ᶦᶰᵈ᭄ℓєgєи∂✧kìຮຮu࿐™


❌ FAILED TO SEND: 303
--------------------------------------------------
FAILED | USER | 400753764 | Error: Could not find the input entity for PeerUser(user_id=400753764) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 492640439 | Error: Could not find the input entity for PeerUser(user_id=492640439) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 747054806 | Error: Could not find the input entity for PeerUser(user_id=747054806) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 774570235 | Error: Could not find the input entity for PeerUser(user_id=774570235) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1054232755 | Error: Could not find the input entity for PeerUser(user_id=1054232755) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1129032892 | Error: Could not find the input entity for PeerUser(user_id=1129032892) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1178876906 | Error: Could not find the input entity for PeerUser(user_id=1178876906) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1209303868 | Error: Could not find the input entity for PeerUser(user_id=1209303868) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1237190930 | Error: Could not find the input entity for PeerUser(user_id=1237190930) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1288820019 | Error: Could not find the input entity for PeerUser(user_id=1288820019) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1293166904 | Error: Could not find the input entity for PeerUser(user_id=1293166904) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1331943080 | Error: Could not find the input entity for PeerUser(user_id=1331943080) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1336937064 | Error: Could not find the input entity for PeerUser(user_id=1336937064) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1367588126 | Error: Could not find the input entity for PeerUser(user_id=1367588126) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1386242042 | Error: Could not find the input entity for PeerUser(user_id=1386242042) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1448347698 | Error: Could not find the input entity for PeerUser(user_id=1448347698) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1469268365 | Error: Could not find the input entity for PeerUser(user_id=1469268365) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1489171303 | Error: Could not find the input entity for PeerUser(user_id=1489171303) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1538694508 | Error: Could not find the input entity for PeerUser(user_id=1538694508) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 1632985545 | Error: Could not find the input entity for PeerUser(user_id=1632985545) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
